Latitude,Longitude,Rainfall (mm),River Discharge (m³/s),Elevation (m),Distance From Coast (km),Land Cover,Soil Type,Population Density,Is Coastal,Flood Risk,Flood Prediction
19.363345053657206,73.32658783550417,88.39,727.56,783.44,75.5,Forest,Clay,3980,0,0.337152,0
16.555248134321033,73.09246837662728,24.94,2989.37,20.59,261.36,Forest,Alluvial,3842,1,0.26161275,0
18.181995815519556,73.43630078164504,76.32,204.95,51.39,104.06,Forest,Sandy Loam,9310,1,0.08656749999999999,0
18.891227916017513,72.71132095030137,33.38,499.3,242.11,9.39,Agricultural,Laterite,6170,0,0.208345,0
18.245063999508226,74.40298919185744,119.7,626.39,111.61,184.08,Agricultural,Laterite,9412,0,0.22652925000000002,0
17.310563664196636,73.03115745065102,85.28,669.22,290.81,177.61,Forest,Clay,3653,0,0.21874100000000002,0
16.25779853471196,72.85329020908549,57.29,684.5,274.26,292.48,Forest,Laterite,8133,0,0.091515,0
16.455068530614597,73.56426344962466,57.22,1053.48,253.92,282.48,Urban,Clay,3773,0,0.209894,0
18.64291060577558,73.19526622648387,59.3,948.03,590.33,50.46,Agricultural,Laterite,3414,0,0.16005224999999998,0
18.225769939108332,72.83329090755201,66.81,601.23,88.13,74.71,Forest,Clay,8398,1,0.1968715,0
19.37816612344474,73.66631771625588,97.34,1753.74,202.61,105.39,Forest,Laterite,10648,0,0.185027,0
17.310465410073455,73.96963000820251,96.93,237.17,89.14,215.12,Urban,Sandy Loam,14305,1,0.10878850000000001,0
17.88297416223153,72.72552213475015,156.93,2794.49,448.48,112.84,Forest,Clay,17024,0,0.3966545,0
16.93767971415244,73.98873023821822,43.92,3332.46,44.93,251.06,Mangrove,Laterite,14547,1,0.310543,0
16.895380225419846,73.16239134059886,123.13,455.15,591.28,225.17,Urban,Laterite,8014,0,0.1458875,0
18.670102262268678,73.19399562907827,154.9,346.21,440.78,48.71,Forest,Laterite,1912,0,0.1722105,0
16.632069195075946,73.68614323621148,18.97,501.97,276,268.02,Forest,Laterite,9466,0,0.044068500000000004,0
18.57554151298848,72.81007403066285,25.55,755.39,431.22,35.93,Forest,Sandy Loam,6164,0,0.09497925,0
